0.0129	 0.969	0.008
0.0491	 0.950	0.007
0.0997	 0.986	0.009
0.1511	 0.998	0.009
0.2025	 1.013	0.006
0.2507	 1.033	0.008
0.3017	 1.006	0.007
0.3509	 0.992	0.008
0.4015	 0.967	0.010
0.4493	 0.953	0.008
0.4991	 0.952	0.009
0.5490	 0.954	0.007
0.5988	 0.991	0.007
0.6485	 1.039	0.010
0.6988	 1.080	0.012
0.7499	 1.075	0.008
0.8007	 1.047	0.008
0.8508	 1.032	0.008
0.9003	 1.012	0.007
0.9493	 0.986	0.007

