*
*   This is the limb-darkening table.  It must be named
*                         LDTable.dat
*   
*   The limb darkening law is the four-parameter law advocated by
*   A. Claret (2000, A&A, 363, 1081):
*
*        I(mu) / I(1) =  1 - a1*(1 - mu**(1/2))
*                          - a2*(1 - mu**(1)  )
*                          - a3*(1 - mu**(3/2))
*                          - a4*(1 - mu**(2)  )
*
*   The file has the format:
*       
*       Tmin    Tmax    deltaT    =  The minimum and maximum temperature
*                                    and the temperature spacing.
*       gmin    gmax    deltag    =  The minimum and maximum LOG g
*                                    and the spacing in log g.
*        N    filter1  filter2  filter3  filter4  ...  filterN
*        T   log(g)   lambda    a1    a2    a3    a4
*        .     .        .       .     .     .     .
*        .     .        .       .     .     .     .
*        .     .        .       .     .     .     .
*                                                         
      3500 10000 250
      2.0 5.0 0.5
   8   U  B  V  R  I  J  H  K
  3.0  3750  R   0.9301  -1.3965   1.9045  -0.5297
  3.0  3750  I   1.0519  -1.5105   1.9331  -0.6341
  3.0  3750  J   0.7488  -0.6937   1.0085  -0.3942
  3.0  3750  H   0.8280  -0.0615  -0.0885   0.0256
  3.0  3750  K   0.7995  -0.2560   0.0926  -0.0279
  3.5  3750  U   0.6971  -0.1266  -0.0393   0.3957
  3.5  3750  B   0.5567  -0.3137   0.5392   0.1533
  3.5  3750  V   0.7037  -0.7890   1.2920  -0.2883
  3.5  3750  R   0.8723  -1.2388   1.7880  -0.5309
  3.5  3750  I   0.9711  -1.2840   1.7123  -0.5778
  3.5  3750  J   0.7702  -0.6331   0.8469  -0.3200
  3.5  3750  H   0.9003  -0.3030   0.1621  -0.0629
  3.5  3750  K   0.8616  -0.4592   0.2999  -0.1006
  4.0  3750  U   0.7730  -0.3924   0.6374  -0.1013
  4.0  3750  B   0.5474  -0.0226   0.4374  -0.0466
  4.0  3750  V   0.6000  -0.2262   0.7884  -0.2731
  4.0  3750  R   0.7369  -0.6886   1.3193  -0.5061
  4.0  3750  I   0.8300  -0.7206   1.1286  -0.4456
  4.0  3750  J   0.8689  -0.5768   0.5056  -0.1538
  4.0  3750  H   1.1078  -0.9997   0.8480  -0.2946
  4.0  3750  K   1.0406  -1.0593   0.8903  -0.3029
  4.5  3750  U   0.7696  -0.2644   0.6176  -0.2229
  4.5  3750  B   0.5424   0.4013  -0.0548   0.0062
  4.5  3750  V   0.5088   0.4865  -0.1189  -0.0159
  4.5  3750  R   0.5804   0.1466   0.3075  -0.2037
  4.5  3750  I   0.7101  -0.0557   0.2654  -0.1557
  4.5  3750  J   1.0564  -0.8488   0.5733  -0.1573
  4.5  3750  H   1.3386  -1.6986   1.4512  -0.4883
  4.5  3750  K   1.2114  -1.6069   1.3762  -0.4636
  5.0  3750  U   0.7353  -0.0925   0.4120  -0.1749
  5.0  3750  B   0.5355   0.6948  -0.5157   0.1644
  5.0  3750  V   0.4582   0.9730  -0.8614   0.2713
  5.0  3750  R   0.4744   0.7927  -0.6064   0.1484
  5.0  3750  I   0.6361   0.4308  -0.4564   0.1341
  5.0  3750  J   1.2240  -1.1951   0.8159  -0.2294
  5.0  3750  H   1.4588  -2.0997   1.8154  -0.6152
  5.0  3750  K   1.2946  -1.9137   1.6670  -0.5672
  2.0  4000  U   0.3571   0.7317  -1.4361   1.2981
  2.0  4000  B   0.4076  -0.3211   0.7224   0.1233
  2.0  4000  V   0.7189  -0.9735   1.6462  -0.4592
  2.0  4000  R   0.9842  -1.3902   2.0219  -0.6885
  2.0  4000  I   1.1682  -1.6745   2.1444  -0.7748
  2.0  4000  J   0.6767  -0.4893   0.8611  -0.3717
  2.0  4000  H   0.8313  -0.0134  -0.2021   0.0813
  2.0  4000  K   0.8310  -0.2929   0.0891  -0.0194
  2.5  4000  U   0.4948   0.3279  -0.9457   1.0771
  2.5  4000  B   0.4817  -0.4944   0.9005   0.0520
  2.5  4000  V   0.7309  -0.9971   1.6528  -0.4567
  2.5  4000  R   0.9383  -1.3247   1.9753  -0.6724
  2.5  4000  I   1.0837  -1.5175   2.0097  -0.7289
  2.5  4000  J   0.6511  -0.4413   0.8094  -0.3505
  2.5  4000  H   0.8267  -0.0116  -0.1946   0.0749
  2.5  4000  K   0.8124  -0.2608   0.0654  -0.0127
  3.0  4000  U   0.6217  -0.0313  -0.4840   0.8462
  3.0  4000  B   0.5389  -0.6131   1.0116   0.0046
  3.0  4000  V   0.7287  -0.9902   1.6303  -0.4451
  3.0  4000  R   0.8926  -1.2670   1.9383  -0.6596
  3.0  4000  I   1.0085  -1.3880   1.9041  -0.6934
  3.0  4000  J   0.6281  -0.3893   0.7458  -0.3229
  3.0  4000  H   0.8219  -0.0070  -0.1943   0.0729
  3.0  4000  K   0.7984  -0.2363   0.0457  -0.0064
  3.5  4000  U   0.7353  -0.3497  -0.0411   0.6013
  3.5  4000  B   0.5849  -0.6947   1.0914  -0.0424
  3.5  4000  V   0.7224  -0.9763   1.6132  -0.4443
  3.5  4000  R   0.8531  -1.2261   1.9239  -0.6590
  3.5  4000  I   0.9458  -1.2888   1.8316  -0.6723
  3.5  4000  J   0.6132  -0.3517   0.6997  -0.3053
  3.5  4000  H   0.8236  -0.0098  -0.1995   0.0769
  3.5  4000  K   0.7919  -0.2187   0.0226   0.0033
  4.0  4000  U   0.8430  -0.6911   0.5706   0.2124
  4.0  4000  B   0.5899  -0.5786   0.9998  -0.0832
  4.0  4000  V   0.6669  -0.7042   1.3025  -0.3672
  4.0  4000  R   0.7643  -0.9159   1.5849  -0.5604
  4.0  4000  I   0.8438  -0.9571   1.4615  -0.5517
  4.0  4000  J   0.6127  -0.2240   0.4450  -0.1871
  4.0  4000  H   0.9024  -0.2875   0.1037  -0.0344
  4.0  4000  K   0.8666  -0.4687   0.2871  -0.0921
  4.5  4000  U   0.8923  -0.8461   1.1308  -0.2579
  4.5  4000  B   0.5500  -0.1000   0.5403  -0.0849
  4.5  4000  V   0.5647   0.0183   0.4043  -0.1170
  4.5  4000  R   0.6104  -0.0661   0.5050  -0.2067
  4.5  4000  I   0.7004  -0.1923   0.4482  -0.1883
  4.5  4000  J   0.7374  -0.2453   0.1731  -0.0344
  4.5  4000  H   1.1022  -0.9836   0.8196  -0.2838
  4.5  4000  K   1.0417  -1.0633   0.8862  -0.2998
  5.0  4000  U   0.8503  -0.5938   0.9736  -0.3299
  5.0  4000  B   0.5663   0.2992   0.0152   0.0076
  5.0  4000  V   0.5728   0.5016  -0.3462   0.1230
  5.0  4000  R   0.5766   0.5481  -0.4439   0.1404
  5.0  4000  I   0.6895   0.2663  -0.3229   0.1163
  5.0  4000  J   0.9669  -0.6359   0.3642  -0.0790
  5.0  4000  H   1.3034  -1.6190   1.3870  -0.4672
  5.0  4000  K   1.1914  -1.5550   1.3304  -0.4465
  2.0  4250  U   0.3120   0.5520  -0.9508   1.0519
  2.0  4250  B   0.3721  -0.2403   0.8200  -0.0216
  2.0  4250  V   0.6744  -0.8610   1.6509  -0.5491
  2.0  4250  R   0.9810  -1.4032   2.0887  -0.7663
  2.0  4250  I   1.1627  -1.7168   2.2215  -0.8312
  2.0  4250  J   0.7263  -0.5458   0.8911  -0.3951
  2.0  4250  H   0.8417  -0.0576  -0.2001   0.0911
  2.0  4250  K   0.8293  -0.3213   0.0990  -0.0182
  2.5  4250  U   0.4286   0.2278  -0.5792   0.8933
  2.5  4250  B   0.4633  -0.4830   1.0894  -0.1282
  2.5  4250  V   0.7156  -0.9652   1.7412  -0.5732
  2.5  4250  R   0.9589  -1.3571   2.0361  -0.7424
  2.5  4250  I   1.1041  -1.5841   2.0856  -0.7791
  2.5  4250  J   0.6995  -0.5083   0.8636  -0.3848
  2.5  4250  H   0.8302  -0.0365  -0.2080   0.0887
  2.5  4250  K   0.8115  -0.2921   0.0836  -0.0162
  3.0  4250  U   0.5417  -0.0600  -0.2544   0.7445
  3.0  4250  B   0.5302  -0.6536   1.2650  -0.1948
  3.0  4250  V   0.7295  -0.9947   1.7474  -0.5652
  3.0  4250  R   0.9198  -1.2693   1.9439  -0.7055
  3.0  4250  I   1.0374  -1.4295   1.9289  -0.7206
  3.0  4250  J   0.6720  -0.4578   0.8143  -0.3647
  3.0  4250  H   0.8211  -0.0219  -0.2114   0.0859
  3.0  4250  K   0.7971  -0.2695   0.0739  -0.0163
  3.5  4250  U   0.6608  -0.3531   0.0870   0.5738
  3.5  4250  B   0.5838  -0.7886   1.4008  -0.2486
  3.5  4250  V   0.7301  -0.9964   1.7328  -0.5543
  3.5  4250  R   0.8717  -1.1670   1.8444  -0.6683
  3.5  4250  I   0.9689  -1.2761   1.7784  -0.6656
  3.5  4250  J   0.6446  -0.4046   0.7630  -0.3452
  3.5  4250  H   0.8116   0.0033  -0.2353   0.0932
  3.5  4250  K   0.7817  -0.2322   0.0382  -0.0038
  4.0  4250  U   0.7799  -0.6369   0.4271   0.3898
  4.0  4250  B   0.6267  -0.8875   1.4967  -0.2927
  4.0  4250  V   0.7206  -0.9754   1.7056  -0.5467
  4.0  4250  R   0.8184  -1.0625   1.7608  -0.6453
  4.0  4250  I   0.8991  -1.1281   1.6469  -0.6235
  4.0  4250  J   0.6072  -0.3096   0.6590  -0.3058
  4.0  4250  H   0.8112   0.0141  -0.2588   0.1053
  4.0  4250  K   0.7756  -0.2064   0.0028   0.0108
  4.5  4250  U   0.8898  -0.9313   0.9105   0.0772
  4.5  4250  B   0.6164  -0.7340   1.3214  -0.2739
  4.5  4250  V   0.6562  -0.6683   1.3209  -0.4208
  4.5  4250  R   0.7131  -0.6674   1.2893  -0.4807
  4.5  4250  I   0.7870  -0.7383   1.1886  -0.4604
  4.5  4250  J   0.5825  -0.1294   0.3569  -0.1693
  4.5  4250  H   0.8965  -0.2724   0.0566  -0.0126
  4.5  4250  K   0.8532  -0.4481   0.2481  -0.0739
  5.0  4250  U   0.9128  -0.9774   1.2586  -0.2670
  5.0  4250  B   0.5459  -0.1608   0.6465  -0.1244
  5.0  4250  V   0.5634   0.0420   0.3480  -0.0894
  5.0  4250  R   0.5966   0.1165   0.1815  -0.0645
  5.0  4250  I   0.6767  -0.0394   0.1865  -0.0696
  5.0  4250  J   0.6917  -0.1222   0.0552   0.0040
  5.0  4250  H   1.0996  -0.9775   0.8060  -0.2811
  5.0  4250  K   1.0380  -1.0581   0.8756  -0.2954
  2.0  4500  U   0.4449  -0.0536   0.0354   0.5477
  2.0  4500  B   0.4063  -0.2940   0.9834  -0.1696
  2.0  4500  V   0.6223  -0.6643   1.4952  -0.5585
  2.0  4500  R   0.8403  -1.0414   1.7452  -0.6834
  2.0  4500  I   1.0069  -1.3527   1.8705  -0.7282
  2.0  4500  J   0.7371  -0.5064   0.7901  -0.3585
  2.0  4500  H   0.8421  -0.1009  -0.1890   0.0967
  2.0  4500  K   0.8170  -0.3437   0.1115  -0.0193
  2.5  4500  U   0.5346  -0.3021   0.3131   0.4343
  2.5  4500  B   0.4908  -0.5346   1.2703  -0.2889
  2.5  4500  V   0.6661  -0.8038   1.6462  -0.6097
  2.5  4500  R   0.8359  -1.0526   1.7581  -0.6834
  2.5  4500  I   0.9695  -1.2797   1.7958  -0.6969
  2.5  4500  J   0.7085  -0.4772   0.7866  -0.3608
  2.5  4500  H   0.8204  -0.0541  -0.2184   0.1004
  2.5  4500  K   0.8008  -0.3279   0.1223  -0.0311
  3.0  4500  U   0.6132  -0.4875   0.5004   0.3557
  3.0  4500  B   0.5515  -0.7064   1.4681  -0.3696
  3.0  4500  V   0.6881  -0.8777   1.7179  -0.6293
  3.0  4500  R   0.8209  -1.0318   1.7380  -0.6730
  3.0  4500  I   0.9300  -1.1952   1.7100  -0.6633
  3.0  4500  J   0.6782  -0.4291   0.7511  -0.3486
  3.0  4500  H   0.8050  -0.0211  -0.2389   0.1029
  3.0  4500  K   0.7817  -0.2908   0.0974  -0.0254
  3.5  4500  U   0.6889  -0.6417   0.6445   0.2883
  3.5  4500  B   0.5966  -0.8329   1.6072  -0.4252
  3.5  4500  V   0.7001  -0.9213   1.7530  -0.6346
  3.5  4500  R   0.8013  -0.9948   1.6988  -0.6552
  3.5  4500  I   0.8922  -1.1108   1.6238  -0.6299
  3.5  4500  J   0.6550  -0.3949   0.7283  -0.3412
  3.5  4500  H   0.7918   0.0094  -0.2605   0.1070
  3.5  4500  K   0.7645  -0.2530   0.0665  -0.0161
  4.0  4500  U   0.7685  -0.7928   0.7868   0.2116
  4.0  4500  B   0.6342  -0.9379   1.7197  -0.4715
  4.0  4500  V   0.7077  -0.9534   1.7813  -0.6420
  4.0  4500  R   0.7831  -0.9699   1.6877  -0.6549
  4.0  4500  I   0.8588  -1.0435   1.5656  -0.6112
  4.0  4500  J   0.6300  -0.3488   0.6916  -0.3301
  4.0  4500  H   0.7807   0.0482  -0.3069   0.1254
  4.0  4500  K   0.7460  -0.1955   0.0010   0.0095
  4.5  4500  U   0.8552  -0.9674   0.9672   0.1092
  4.5  4500  B   0.6640  -1.0186   1.8021  -0.5075
  4.5  4500  V   0.7035  -0.9473   1.7665  -0.6347
  4.5  4500  R   0.7527  -0.9045   1.6315  -0.6386
  4.5  4500  I   0.8186  -0.9540   1.4853  -0.5860
  4.5  4500  J   0.6006  -0.2759   0.6151  -0.3017
  4.5  4500  H   0.7782   0.0671  -0.3356   0.1377
  4.5  4500  K   0.7391  -0.1666  -0.0369   0.0252
  5.0  4500  U   0.9271  -1.1224   1.2018  -0.0576
  5.0  4500  B   0.6366  -0.8454   1.5798  -0.4437
  5.0  4500  V   0.6373  -0.6538   1.3900  -0.4985
  5.0  4500  R   0.6612  -0.5436   1.1870  -0.4751
  5.0  4500  I   0.7249  -0.6112   1.0742  -0.4358
  5.0  4500  J   0.5662  -0.0830   0.3162  -0.1690
  5.0  4500  H   0.8628  -0.1916  -0.0624   0.0385
  5.0  4500  K   0.8122  -0.3746   0.1659  -0.0429
  2.0  4750  U   0.5440  -0.5504   0.9105   0.0665
  2.0  4750  B   0.4500  -0.3872   1.1623  -0.3067
  2.0  4750  V   0.6144  -0.5658   1.3947  -0.5669
  2.0  4750  R   0.7843  -0.8518   1.5464  -0.6437
  2.0  4750  I   0.9415  -1.1789   1.7028  -0.6930
  2.0  4750  J   0.7280  -0.4506   0.6767  -0.3136
  2.0  4750  H   0.8292  -0.1237  -0.1911   0.1061
  2.0  4750  K   0.7875  -0.3300   0.0888  -0.0068
  2.5  4750  U   0.6124  -0.7513   1.1464  -0.0310
  2.5  4750  B   0.5244  -0.5988   1.4310  -0.4275
  2.5  4750  V   0.6539  -0.6962   1.5532  -0.6294
  2.5  4750  R   0.7859  -0.8842   1.5919  -0.6595
  2.5  4750  I   0.9128  -1.1306   1.6560  -0.6721
  2.5  4750  J   0.7055  -0.4271   0.6803  -0.3207
  2.5  4750  H   0.8032  -0.0538  -0.2552   0.1258
  2.5  4750  K   0.7693  -0.3040   0.0870  -0.0140
  3.0  4750  U   0.6763  -0.9056   1.2951  -0.0866
  3.0  4750  B   0.5765  -0.7526   1.6235  -0.5123
  3.0  4750  V   0.6699  -0.7671   1.6405  -0.6607
  3.0  4750  R   0.7707  -0.8696   1.5838  -0.6541
  3.0  4750  I   0.8753  -1.0556   1.5816  -0.6420
  3.0  4750  J   0.6750  -0.3766   0.6476  -0.3116
  3.0  4750  H   0.7872  -0.0148  -0.2795   0.1278
  3.0  4750  K   0.7523  -0.2732   0.0735  -0.0147
  3.5  4750  U   0.7315  -1.0066   1.3564  -0.1033
  3.5  4750  B   0.6101  -0.8551   1.7461  -0.5639
  3.5  4750  V   0.6723  -0.7990   1.6748  -0.6670
  3.5  4750  R   0.7488  -0.8332   1.5478  -0.6366
  3.5  4750  I   0.8374  -0.9748   1.4981  -0.6078
  3.5  4750  J   0.6464  -0.3284   0.6138  -0.3009
  3.5  4750  H   0.7735   0.0110  -0.2877   0.1247
  3.5  4750  K   0.7371  -0.2455   0.0586  -0.0124
  4.0  4750  U   0.7842  -1.0777   1.3758  -0.1091
  4.0  4750  B   0.6329  -0.9253   1.8300  -0.6013
  4.0  4750  V   0.6753  -0.8347   1.7218  -0.6840
  4.0  4750  R   0.7308  -0.8113   1.5399  -0.6365
  4.0  4750  I   0.8085  -0.9220   1.4552  -0.5941
  4.0  4750  J   0.6213  -0.2860   0.5868  -0.2947
  4.0  4750  H   0.7591   0.0562  -0.3356   0.1420
  4.0  4750  K   0.7167  -0.1873  -0.0018   0.0097
  4.5  4750  U   0.8388  -1.1395   1.3791  -0.1136
  4.5  4750  B   0.6535  -0.9904   1.9016  -0.6312
  4.5  4750  V   0.6748  -0.8546   1.7413  -0.6868
  4.5  4750  R   0.7114  -0.7818   1.5221  -0.6321
  4.5  4750  I   0.7785  -0.8594   1.3976  -0.5737
  4.5  4750  J   0.5960  -0.2356   0.5446  -0.2809
  4.5  4750  H   0.7491   0.0881  -0.3674   0.1524
  4.5  4750  K   0.7031  -0.1446  -0.0477   0.0268
  5.0  4750  U   0.8949  -1.2126   1.4121  -0.1413
  5.0  4750  B   0.6678  -1.0322   1.9417  -0.6490
  5.0  4750  V   0.6708  -0.8579   1.7455  -0.6882
  5.0  4750  R   0.6907  -0.7411   1.4936  -0.6269
  5.0  4750  I   0.7507  -0.7980   1.3447  -0.5581
  5.0  4750  J   0.5736  -0.1804   0.4901  -0.2620
  5.0  4750  H   0.7468   0.1109  -0.4017   0.1669
  5.0  4750  K   0.6944  -0.1082  -0.0951   0.0464
  2.0  5000  U   0.5786  -0.8024   1.4930  -0.3135
  2.0  5000  B   0.4325  -0.2984   1.1173  -0.3494
  2.0  5000  V   0.5641  -0.3377   1.1203  -0.4946
  2.0  5000  R   0.7316  -0.6421   1.2949  -0.5747
  2.0  5000  I   0.8853  -1.0015   1.5138  -0.6489
  2.0  5000  J   0.6636  -0.2429   0.3891  -0.1974
  2.0  5000  H   0.8194  -0.1416  -0.2106   0.1260
  2.0  5000  K   0.7429  -0.2506  -0.0242   0.0454
  2.5  5000  U   0.6341  -0.9718   1.7005  -0.3980
  2.5  5000  B   0.5155  -0.5352   1.4248  -0.4904
  2.5  5000  V   0.6247  -0.5342   1.3668  -0.5969
  2.5  5000  R   0.7570  -0.7518   1.4399  -0.6329
  2.5  5000  I   0.8809  -1.0301   1.5606  -0.6654
  2.5  5000  J   0.6620  -0.2796   0.4651  -0.2349
  2.5  5000  H   0.7837  -0.0451  -0.3021   0.1557
  2.5  5000  K   0.7176  -0.2116  -0.0322   0.0377
  3.0  5000  U   0.6924  -1.1305   1.8687  -0.4604
  3.0  5000  B   0.5738  -0.7077   1.6481  -0.5922
  3.0  5000  V   0.6560  -0.6486   1.5124  -0.6555
  3.0  5000  R   0.7592  -0.7882   1.4937  -0.6529
  3.0  5000  I   0.8612  -1.0045   1.5395  -0.6541
  3.0  5000  J   0.6531  -0.2857   0.4980  -0.2529
  3.0  5000  H   0.7639   0.0010  -0.3311   0.1589
  3.0  5000  K   0.7052  -0.2006  -0.0182   0.0251
  3.5  5000  U   0.7435  -1.2427   1.9481  -0.4773
  3.5  5000  B   0.6092  -0.8163   1.7857  -0.6530
  3.5  5000  V   0.6650  -0.7009   1.5809  -0.6798
  3.5  5000  R   0.7448  -0.7726   1.4833  -0.6457
  3.5  5000  I   0.8301  -0.9395   1.4697  -0.6229
  3.5  5000  J   0.6385  -0.2713   0.5031  -0.2584
  3.5  5000  H   0.7513   0.0212  -0.3276   0.1492
  3.5  5000  K   0.7015  -0.2143   0.0238   0.0017
  4.0  5000  U   0.7843  -1.2923   1.9233  -0.4468
  4.0  5000  B   0.6285  -0.8766   1.8590  -0.6853
  4.0  5000  V   0.6607  -0.7158   1.6063  -0.6873
  4.0  5000  R   0.7240  -0.7396   1.4586  -0.6358
  4.0  5000  I   0.7995  -0.8780   1.4112  -0.5997
  4.0  5000  J   0.6163  -0.2300   0.4740  -0.2498
  4.0  5000  H   0.7428   0.0427  -0.3382   0.1489
